date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:06	46912/46912	---M--	200	added ('OK')	image/jpeg	etag:%226229c59d-b740%22	https://templates.hibootstrap.com/naon/default/assets/images/services/services-img15.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/services/services-img15.jpg	(from https://templates.hibootstrap.com/naon/default/services-2.html)
22:49:06	42210/42210	---M--	200	added ('OK')	image/jpeg	etag:%226229c59c-a4e2%22	https://templates.hibootstrap.com/naon/default/assets/images/services/services-img14.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/services/services-img14.jpg	(from https://templates.hibootstrap.com/naon/default/services-2.html)
22:49:06	28608/28608	---M--	200	added ('OK')	image/png	etag:%226229c592-6fc0%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner11.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner11.png	(from https://templates.hibootstrap.com/naon/default/service-details.html)
22:49:07	69308/69308	---M--	200	added ('OK')	image/jpeg	etag:%226229c59b-10ebc%22	https://templates.hibootstrap.com/naon/default/assets/images/services/services-details.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/services/services-details.jpg	(from https://templates.hibootstrap.com/naon/default/service-details.html)
22:49:07	14105/14105	---M--	200	added ('OK')	image/png	etag:%226229c597-3b85%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-img10.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-img10.png	(from https://templates.hibootstrap.com/naon/default/shop.html)
22:49:07	8550/8550	---M--	200	added ('OK')	image/png	etag:%226229c597-2166%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-img11.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-img11.png	(from https://templates.hibootstrap.com/naon/default/shop.html)
22:49:08	9657/9657	---M--	200	added ('OK')	image/png	etag:%226229c598-25b9%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-img12.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-img12.png	(from https://templates.hibootstrap.com/naon/default/shop.html)
22:49:08	9547/9547	---M--	200	added ('OK')	image/png	etag:%226229c598-254b%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-img13.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-img13.png	(from https://templates.hibootstrap.com/naon/default/shop.html)
22:49:08	12797/12797	---M--	200	added ('OK')	image/png	etag:%226229c598-31fd%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-img14.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-img14.png	(from https://templates.hibootstrap.com/naon/default/shop.html)
22:49:08	8678/8678	---M--	200	added ('OK')	image/png	etag:%226229c598-21e6%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-img15.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-img15.png	(from https://templates.hibootstrap.com/naon/default/shop.html)
22:49:09	3504/3504	---M--	200	added ('OK')	image/jpeg	etag:%226229c599-db0%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-user.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-user.jpg	(from https://templates.hibootstrap.com/naon/default/shop-details.html)
22:49:09	2855/2855	---M--	200	added ('OK')	image/jpeg	etag:%226229c599-b27%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-user2.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-user2.jpg	(from https://templates.hibootstrap.com/naon/default/shop-details.html)
22:49:10	3094/3094	---M--	200	added ('OK')	image/jpeg	etag:%226229c59a-c16%22	https://templates.hibootstrap.com/naon/default/assets/images/products/product-user3.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/products/product-user3.jpg	(from https://templates.hibootstrap.com/naon/default/shop-details.html)
